procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1     60 180448 116348 1590952    0    0    10    49    1    1 32 15 51  3  0
 1  1     60 176164 116372 1591004    0    0     0   476 2202 6927  9 20 61 11  0
 1  1     60 167976 116412 1591020    0    0     0   980 2313 7148 11 21 44 24  0
 2  1     60 188636 116440 1591108    0    0     0   712 2199 7202 10 21 57 13  0
 2  0     60 213056 116476 1591200    0    0     0   832 1964 6798  9 22 50 19  0
 1  0     60 227180 116484 1591280    0    0     4   540 2306 7811  9 21 60 11  0
 1  0     60 230512 116512 1591308    0    0     0   508 1994 6595 11 20 59 10  0
 3  0     60 230532 116512 1591372    0    0     0     0 1937 6779  8 19 73  0  0
 6  0     60 226996 116532 1591432    0    0     0   736 2119 7008 10 21 56 13  0
 4  0     60 229300 116556 1591724    0    0     4  1004 2155 7722  9 21 51 20  0
 6  3     60 233856 116556 1591800    0    0     0   840 2318 7185  9 22 50 19  0
 8  1     60 233712 116600 1591840    0    0     0  1228 2541 8832 11 21 38 31  0
 5  2     60 240948 116616 1591876    0    0     0   348 2068 7222  8 21 66  6  0
 5  0     60 241064 116620 1591908    0    0     4     4 1791 13866  9 23 68  0  0
 4  0     60 242164 116620 1591344    0    0     0     8 1952 7586 10 20 70  0  0
 4  1     60 237640 116672 1591388    0    0     0  1120 1957 6930 10 21 52 17  0
 2  1     60 241380 116684 1591648    0    0    72   508 2319 7805  9 21 65  6  0
 2  0     60 244880 116732 1591828    0    0     4   728 2305 12435 11 22 50 18  0
 3  0     60 245212 116740 1591868    0    0    68   272 2035 7257  8 20 71  1  0
 4  2     60 238468 116748 1592012    0    0     0  1076 2022 11376  9 21 62  8  0
 1  0     60 243936 116772 1592064    0    0     4  1588 6212 21596  9 21 25 46  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     60 245140 116808 1592088    0    0     0   792 2193 7472 10 21 58 11  0
 1  0     60 245240 116820 1592140    0    0     0   356 2158 6736  9 20 58 14  0
 1  0     60 249256 116824 1592228    0    0     4   376 2045 6765  8 20 66  6  0
 1  0     60 249500 116824 1592256    0    0     0     0 1990 6560  8 20 72  0  0
 2  0     60 249624 116824 1592276    0    0     0     0 2139 7089  8 20 72  0  0
 2  0     60 249748 116828 1592300    0    0     8     0 2017 7090  8 20 72  0  0
 2  1     60 246492 116828 1592328    0    0     0   364 2105 6976  9 20 67  4  0
 3  1     60 242292 116852 1592380    0    0     0   724 2118 7270  9 20 47 24  0
 4  0     60 249612 116860 1592424    0    0     0   504 1906 6643  9 21 59 11  0
 2  1     60 224924 116884 1592448    0    0     0   856 2121 6782 19 22 40 20  0
 1  1     60 237692 116896 1592532    0    0     0   752 2146 7478 11 21 60  8  0
 3  2     60 227652 116920 1592916    0    0     8  4584 2118 7915 10 23 34 33  0
 5  0     60 239860 116928 1592616    0    0     4   744 2236 7928  8 21 49 21  0
 7  0     60 229048 116936 1592640    0    0     0   332 2323 8683 10 22 65  3  0
 1  1     60 234804 116984 1592696    0    0     0  1120 2274 8038 14 22 51 13  0
 2  0     60 244264 117000 1592724    0    0     4   848 2383 7524  8 21 60 11  0
 2  0     60 244364 117000 1592764    0    0     4    40 2227 8056  8 20 72  0  0
 4  0     60 244364 117000 1593236    0    0    64     0 2462 8740  8 21 70  1  0
 2  3     60 244204 117000 1593408    0    0     0   704 2109 9039  8 20 70  2  0
 1  1     60 236852 117024 1593420    0    0     0   880 2377 7540 10 20 49 21  0
 2  0     60 230396 117048 1593488    0    0     4   496 2165 14566 10 21 58 12  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0     60 246732 117060 1593524    0    0     4  1156 2197 8924 10 22 59 10  0
 2  1     60 224392 117064 1593552    0    0     0   328 2287 7239 11 22 58  9  0
 4  1     60 223456 117080 1593584    0    0    12   712 2279 7831 10 22 53 16  0
 1  1     60 207844 117088 1593672    0    0     0   812 2291 8217 11 22 52 15  0
